LAPORAN DATA TENANT KAWASAN INDUSTRI TUNAS BATAM
Periode Ekspor Laporan: Mei 2026

tenant_id,nama_perusahaan,sektor_industri,asal_negara
1,PT Saefullah Batam,Marine/Shipyard,Indonesia (Lokal Batam)
2,PT Prasasta Indonesia,Logistik,Singapura
3,CV Jailani Wastuti Batam,Plastik & Molding,Indonesia (Lokal Batam)
4,PT Palastri Indonesia,Manufaktur,Singapura
5,PT Irawan Indonesia,Plastik & Molding,Singapura
6,PT Rahayu Indonesia,Otomotif,Singapura
7,PT Dabukke Iswahyudi (Persero) Tbk Batam,Jasa & Ritel,Indonesia (Lokal Batam)
8,PT Pradipta Indonesia,Otomotif,Malaysia
9,PT Mayasari Indonesia,Jasa & Ritel,Malaysia
10,PT Suartini Indonesia,Elektronik,Malaysia
11,PT Dongoran Indonesia,Marine/Shipyard,Jepang
12,Perum Andriani Prasetya Batam,Otomotif,Indonesia (Lokal Batam)
13,PT Hassanah Indonesia,Plastik & Molding,Malaysia
14,PT Rahmawati Indonesia,Manufaktur,Taiwan
15,PT Setiawan Indonesia,Manufaktur,Singapura
16,PT Ardianto Indonesia,Otomotif,Taiwan
17,PT Manullang Indonesia,Elektronik,Singapura
18,PT Anggraini Indonesia,Marine/Shipyard,Taiwan
19,PT Siregar Indonesia,Plastik & Molding,Taiwan
20,PT Setiawan Indonesia,Elektronik,Taiwan
21,CV Sirait Jailani Batam,Elektronik,Indonesia (Lokal Batam)
22,PT Iswahyudi Indonesia,Elektronik,Jepang
23,PT Wibowo Indonesia,Plastik & Molding,Taiwan
24,PT Kuswoyo Indonesia,Otomotif,Taiwan
25,PT Tamba Indonesia,Logistik,Taiwan
26,PT Situmorang Indonesia,Plastik & Molding,Jepang
27,PT Suartini Indonesia,Logistik,Singapura
28,PT Haryanti (Persero) Tbk Batam,Manufaktur,Indonesia (Lokal Batam)
29,PT Waluyo Indonesia,Marine/Shipyard,Jepang
30,PT Hutapea Indonesia,Plastik & Molding,Jepang
31,Perum Tarihoran (Persero) Tbk Batam,Jasa & Ritel,Indonesia (Lokal Batam)
32,PT Hidayat Indonesia,Plastik & Molding,Malaysia
33,,Elektronik,Jepang
34,PT Wijayanti Indonesia,Marine/Shipyard,Taiwan
35,PT Pradana Indonesia,Logistik,Korea Selatan
36,PT Siregar Indonesia,Elektronik,Taiwan
37,PT Hutapea Indonesia,Elektronik,Singapura
38,PT Wibowo Setiawan Batam,Plastik & Molding,Indonesia (Lokal Batam)
39,PT Hasanah Indonesia,Manufaktur,Malaysia
40,PT Usada Indonesia,elektronika,Singapura
41,CV Uwais Tbk Batam,Manufaktur,Indonesia (Lokal Batam)
42,PT Pranowo Indonesia,Jasa & Ritel,Korea Selatan
43,PT Winarsih Indonesia,Otomotif,Korea Selatan
44,PT Santoso Indonesia,Plastik & Molding,Jepang
45,PT Zulaika Indonesia,Jasa & Ritel,Taiwan
46,PT Yuliarti Indonesia,Otomotif,Taiwan
47,PT Hidayanto Indonesia,Plastik & Molding,Jepang
48,Perum Prasasta Marpaung Batam,Elektronik,Indonesia (Lokal Batam)
