LAPORAN HISTORIS PENGGUNAAN UTILITAS (LISTRIK DAN AIR)
Kawasan Industri Tunas Batam Centre
Periode Billing: Juni 2023 s/d Mei 2026

trx_id,tanggal,tenant_id,properti_id,pemakaian_listrik,pemakaian_air,service_charge_base
1,2023-06-20,1,45,"Rp. 30.577,07","562,53","Rp. 7.500.000,00"
2,2023-06-22,2,99,Rusak,"2.253,31","Rp. 7.500.000,00"
3,2023-06-24,3,185,"20.197,09",1397.45,"Rp. 7.500.000,00"
4,2023-06-25,4,124,7782.21,"2.153,16","Rp. 7.500.000,00"
5,2023-06-21,5,122,"Rp. 30.921,42","2.022,83",5000000
6,2023-06-24,6,168,"37.201,83","1.502,91","Rp. 5.000.000,00"
7,2023-06-24,7,270,1252.25,"136,72","Rp. 2.500.000,00"
8,2023-06-22,8,10,20264.77,"2.990,30","Rp. 10.000.000,00"
9,2023-06-24,9,289,"Rp. 1.016,70","144,00","Rp. 3.500.000,00"
10,2023-06-20,10,177,28957.78,1721.51,"Rp. 5.000.000,00"
11,2023-06-22,11,198,"Rp. 26.308,25","814,40","Rp. 10.000.000,00"
12,2023-06-20,12,114,N/A,"802,51",5000000
13,2023-06-23,13,4,16139.09,"1.713,54","Rp. 10.000.000,00"
14,2023-06-23,14,52,"Rp. 39.553,47","635,43","Rp. 10.000.000,00"
15,2023-06-21,15,16,Rusak,1607.83,"Rp. 10.000.000,00"
16,2023-06-21,16,90,41097.71,911.59,"Rp. 5.000.000,00"
17,2023-06-21,17,210,13708.04,"646,21",10000000
18,2023-06-21,18,86,"7.718,43",2654.55,"Rp. 7.500.000,00"
19,2023-06-22,19,116,10235.13,"2.113,75","Rp. 7.500.000,00"
20,2023-06-22,20,22,"40.170,81",1423.82,"Rp. 5.000.000,00"
21,2023-06-23,21,104,"9.281,44",1883.06,7500000
22,2023-06-20,22,106,"Rp. 6.763,47",1333.89,"Rp. 5.000.000,00"
23,2023-06-23,23,201,"Rp. -28.300,38","870,23","Rp. 5.000.000,00"
24,2023-06-25,24,244,34979.1,Tanpa Catatan,"Rp. 5.000.000,00"
25,2023-06-25,25,62,"37.429,97",1167.01,10000000
26,2023-06-20,26,30,"18.130,48","2.660,88",7500000
27,2023-06-25,27,127,"Rp. 18.827,48","2.466,07",7500000
28,2023-06-21,28,223,"12.881,41","1.578,24","Rp. 10.000.000,00"
29,2023-06-23,29,73,Meteran Mati,"2.193,29","Rp. 5.000.000,00"
30,2023-06-21,30,46,13548.06,"1.682,97","Rp. 10.000.000,00"
31,2023-06-20,31,322,"283,18","147,91","Rp. 3.500.000,00"
32,2023-06-23,32,175,13753.65,"2.510,27",10000000
33,2023-06-21,33,214,33770.96,"1.761,95","Rp. 10.000.000,00"
34,2023-06-23,34,105,"Rp. 8.099,33","1.214,32","Rp. 7.500.000,00"
35,2023-06-25,35,297,"452.262,67",70.63,3500000
36,2023-06-21,36,96,"36.994,73",,"Rp. 7.500.000,00"
37,2023-06-22,37,67,"Rp. 357.099,86","2.767,32","Rp. 10.000.000,00"
38,2023-06-20,38,165,"Rp. 38.276,97","1.130,68",5000000
39,24/06/2023,39,249,"Rp. 14.541,80","1.683,90","Rp. 5.000.000,00"
40,2023-06-24,40,200,"17.478,29",2193.37,"Rp. 7.500.000,00"
41,2023-06-23,41,79,"18.888,15",,7500000
42,2023-06-22,42,284,"983,88","115,39","Rp. 3.500.000,00"
43,2023-06-22,43,80,"14.754,54","1.661,77",10000000
44,2023-06-22,44,13,"Rp. 25.665,09","977,64","Rp. 5.000.000,00"
45,2023-06-25,45,311,"Rp. 864,24","91,95","Rp. 2.500.000,00"
46,22/06/2023,46,197,"13.655,39","1.710,50","Rp. 10.000.000,00"
47,2023-06-23,47,150,Meteran Mati,"1.230,34","Rp. 5.000.000,00"
